6963_W184_T1_000000006963000_20210527_08_13_35_858.pcd,870.01,530.01,379.09,309.01,559.24,134621.99,1459.11,323.87,327.60,558.69,581.15,136897.89,149724.75,1458.77,1482.78,325.39,323.13,587.62,595.79,153581.20,157744.16,1509.88,1531.97,325.17,326.11,553.68,573.96,136990.90,145953.08,1426.40,1471.53,335.28,320.48,458.20,134978.63,1440.49,332.39,19.31,368.49,308.32,563.55,16.60,588.44,538.96,0.57,0.02,0.59,0.54,147650.25,8271.89,158964.48,135827.95,1489.38,37.58,1540.35,1417.85,184, 1
6963_W184_T1_000000006963000_20210527_08_13_35_990.pcd,980.01,600.01,361.43,294.86,540.10,116187.71,1433.56,297.13,315.68,561.59,595.17,119380.19,147053.41,1441.21,1500.53,320.53,321.59,590.37,590.68,152883.07,156647.64,1508.51,1525.93,320.19,321.34,544.44,568.67,134463.34,144349.51,1420.49,1470.84,347.80,315.13,442.79,113342.69,1253.42,322.48,16.13,354.20,291.21,553.01,40.69,585.46,457.01,0.57,0.05,0.69,0.52,139899.58,15121.07,157090.76,117388.62,1455.04,76.39,1541.41,1296.50,184, 1
6963_W184_T1_000000006963000_20210527_08_13_36_028.pcd,1000.01,610.01,357.31,287.37,518.72,112625.22,1393.57,291.64,311.05,546.61,589.99,114796.52,145370.32,1405.43,1491.62,318.78,322.09,586.60,588.42,152074.09,156346.83,1502.35,1523.37,320.75,321.69,544.57,564.30,135547.00,144302.10,1421.52,1470.83,346.78,313.45,451.04,114791.34,1240.25,321.29,16.85,351.18,285.30,558.53,25.68,579.29,501.00,0.56,0.03,0.63,0.51,141667.74,14416.33,156889.24,115585.37,1464.03,56.95,1530.99,1340.92,184, 1
6963_W184_T1_000000006963000_20210527_08_13_36_112.pcd,1020.01,590.01,343.90,270.24,516.17,109976.50,1341.72,277.30,305.42,545.01,580.81,117316.49,143809.65,1390.66,1465.89,321.14,325.95,589.29,595.10,153040.06,157148.33,1500.62,1520.63,320.23,322.27,521.15,581.69,126050.72,146168.05,1346.64,1470.68,341.06,312.87,449.06,113959.24,1230.88,315.85,17.51,339.22,273.10,556.45,31.44,587.48,485.90,0.56,0.04,0.65,0.51,141162.94,15111.71,157256.40,114339.62,1451.41,71.07,1526.92,1298.03,184, 1
6963_W184_T1_000000006963000_20210527_08_13_36_159.pcd,1030.01,600.01,347.04,273.34,547.81,114189.75,1419.71,278.50,305.85,559.89,574.68,118074.51,142025.44,1430.48,1452.10,320.20,325.56,582.19,587.01,151069.14,155468.67,1481.52,1505.01,320.23,321.89,526.18,572.30,128639.71,144880.34,1369.35,1463.18,341.05,313.69,465.93,115763.93,1283.04,316.22,17.67,341.41,274.52,550.28,27.00,577.46,502.14,0.56,0.04,0.63,0.50,138928.76,13966.12,155924.31,116445.80,1439.80,51.09,1507.32,1349.25,184, 1
7016_W198_T2_000000007016000_20210527_08_18_12_986.pcd,810.01,460.00,370.88,319.72,538.52,147375.78,1460.21,320.85,320.48,586.45,598.66,154096.49,157445.26,1504.44,1538.78,327.89,328.06,596.72,606.61,159109.03,162723.12,1534.47,1548.79,341.30,334.04,563.08,586.05,150871.00,157040.36,1481.64,1521.28,352.32,331.65,531.38,150196.33,1477.35,336.67,14.18,363.74,317.31,575.94,17.80,601.52,546.50,0.56,0.02,0.61,0.54,156607.11,4798.87,164890.52,150012.13,1518.38,31.08,1560.21,1468.54,198, 2
7016_W198_T2_000000007016000_20210527_08_18_13_033.pcd,840.01,450.00,376.70,316.43,569.81,150347.52,1482.11,319.34,322.83,595.52,617.07,154095.31,161451.36,1524.35,1554.78,326.81,329.15,605.08,613.19,161391.89,165034.54,1553.11,1576.69,320.67,326.24,554.37,587.82,145727.96,157200.02,1434.12,1530.73,353.53,317.53,534.24,144633.99,1413.59,334.22,17.21,368.09,313.69,568.87,36.02,615.04,504.59,0.58,0.06,0.70,0.51,155198.20,7977.91,165435.74,139779.67,1516.14,55.18,1587.72,1426.53,198, 2
7016_W198_T2_000000007016000_20210527_08_18_13_134.pcd,890.01,490.00,381.03,314.13,605.17,152737.05,1559.36,320.56,326.67,629.67,604.51,153256.04,160583.69,1600.18,1543.85,324.94,325.73,601.01,606.89,161539.56,165669.14,1548.04,1576.82,314.66,318.00,560.37,593.80,141833.97,155158.75,1435.68,1525.64,366.19,316.38,489.42,131160.77,1351.17,335.00,22.01,368.56,307.05,589.27,19.23,613.21,551.98,0.54,0.02,0.57,0.52,157652.43,7711.45,168020.15,141723.96,1536.16,50.37,1605.70,1432.00,198, 2
7016_W198_T2_000000007016000_20210527_08_18_13_239.pcd,930.01,580.01,379.06,311.72,470.86,119076.84,1324.22,312.62,323.72,492.79,591.25,122173.67,152015.17,1337.20,1523.91,328.44,331.93,591.92,597.75,155801.64,160302.86,1524.11,1543.32,317.92,322.66,577.61,582.37,148855.52,153110.20,1481.91,1499.89,365.66,315.55,484.30,126567.17,1321.08,336.75,21.99,372.72,304.00,555.90,39.39,596.50,476.47,0.58,0.03,0.64,0.55,146596.51,13851.06,162503.93,120113.09,1468.74,80.28,1557.26,1320.51,198, 2
7016_W198_T2_000000007016000_20210527_08_18_13_299.pcd,930.01,590.01,379.75,305.17,474.76,114969.80,1328.35,309.27,319.95,522.70,579.35,122645.89,147778.75,1378.17,1503.85,332.74,340.22,579.73,585.43,154401.37,160492.57,1507.83,1528.99,321.42,327.46,564.89,570.86,146165.04,151834.89,1465.28,1483.59,358.53,314.44,479.76,125304.58,1333.71,335.49,21.99,375.64,299.41,550.16,30.24,581.83,492.90,0.58,0.02,0.63,0.55,145058.74,14212.82,161913.58,118018.84,1461.84,68.02,1540.77,1348.74,198, 2
7016_W198_T2_000000007016000_20210527_08_18_13_337.pcd,980.01,580.01,383.28,299.07,472.12,112638.95,1327.04,304.08,315.26,525.22,578.98,123445.90,145893.10,1381.36,1494.50,334.37,341.08,588.06,598.26,156464.79,161487.83,1511.48,1529.39,317.85,331.85,523.54,582.42,133201.59,155695.89,1370.01,1506.17,356.42,311.41,474.72,125053.07,1337.75,333.37,21.74,374.42,295.65,553.60,37.40,601.19,490.43,0.58,0.03,0.63,0.53,145141.11,15541.34,164591.69,116237.08,1460.32,70.60,1545.76,1339.83,198, 2
7016_W198_T2_000000007016000_20210527_08_18_13_437.pcd,1000.01,580.01,382.50,298.69,458.94,112823.28,1306.85,297.35,310.15,524.90,594.35,121436.53,148023.00,1358.44,1514.25,328.00,333.47,588.68,594.18,154582.96,158794.74,1509.34,1527.31,314.54,327.15,514.92,580.40,128802.24,152745.01,1351.83,1488.54,354.04,310.64,481.06,125174.88,1337.72,330.95,24.73,379.39,286.47,554.82,38.05,590.91,481.79,0.57,0.03,0.62,0.51,143669.64,15433.47,160875.05,113636.86,1457.88,80.48,1540.09,1310.62,198, 2
7016_W198_T2_000000007016000_20210527_08_18_13_484.pcd,950.01,530.01,390.65,301.86,504.31,124289.58,1368.58,292.91,307.27,554.68,596.41,131462.20,148010.55,1419.54,1514.95,320.76,324.84,584.12,592.40,151757.15,155715.12,1497.53,1517.09,310.00,321.42,533.20,571.82,132464.53,149916.35,1404.36,1472.34,355.04,306.95,510.85,129402.03,1377.96,330.48,27.59,388.51,288.20,564.71,20.27,590.23,524.79,0.55,0.02,0.58,0.51,145849.03,9515.60,156075.71,126347.64,1475.22,43.12,1521.84,1391.38,198, 2
7016_W198_T2_000000007016000_20210527_08_18_13_624.pcd,940.01,360.00,389.13,295.05,581.60,145805.39,1478.56,307.66,308.22,616.03,608.85,151822.58,151224.80,1571.36,1528.97,309.20,313.69,603.00,611.69,150788.49,155699.98,1512.56,1542.96,309.63,313.51,542.20,582.08,135721.41,149015.52,1397.71,1481.00,365.02,308.84,485.24,129382.78,1333.72,331.13,29.16,383.92,294.68,567.11,36.25,603.09,504.31,0.55,0.04,0.63,0.51,147118.44,7824.67,156591.02,135128.95,1479.91,59.08,1547.79,1391.85,198, 2
7016_W198_T2_000000007016000_20210527_08_18_13_669.pcd,930.01,470.00,389.58,297.38,569.23,142626.57,1489.54,307.16,306.42,587.08,609.17,146717.45,150444.44,1540.58,1526.72,310.35,314.11,606.20,614.40,152642.38,156747.82,1530.08,1552.65,309.96,313.06,560.96,581.68,140680.46,149888.71,1451.28,1496.09,369.46,309.75,493.64,129091.48,1357.10,332.90,30.41,383.20,297.74,583.77,24.78,606.83,534.06,0.53,0.03,0.58,0.50,149156.96,6858.55,156962.59,135076.14,1508.60,46.42,1559.33,1412.75,198, 2
5047_W279_T2_20210930_08_11_41_893_299.84kg_3.0type_Clipped_c1.pcd,980.01,570.01,428.62,352.13,593.00,159054.64,1587.87,357.50,388.55,617.69,637.16,176881.71,200330.48,1615.61,1675.01,389.20,388.10,629.11,629.95,203037.43,204892.82,1678.10,1686.79,381.60,386.86,604.34,618.35,185700.47,199036.81,1620.99,1662.32,422.78,376.17,594.09,183164.87,1597.82,392.08,20.84,425.21,347.58,611.46,34.49,667.67,540.44,0.63,0.05,0.76,0.58,195101.00,12698.93,220587.13,162616.19,1653.59,73.34,1813.23,1504.86,279, 2
5047_W279_T2_20210930_08_11_41_893_299.84kg_3.0type_Clipped_c2.pcd,1000.01,570.01,428.25,351.03,599.75,159847.25,1601.94,354.44,389.57,610.34,641.65,173429.01,201925.33,1607.99,1694.62,389.07,387.45,633.14,633.01,203688.58,204720.43,1682.62,1688.04,380.87,386.11,597.14,614.92,184136.08,196510.25,1614.65,1660.28,424.65,376.35,588.77,182149.13,1606.38,392.13,21.61,424.44,347.07,605.84,32.14,646.58,542.36,0.64,0.06,0.77,0.58,194659.75,13157.13,218902.84,163390.70,1648.83,57.39,1752.30,1543.66,279, 2
