0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2022_11_17_172525_781_1523.scd,660.01,686.72,754.87,507418.05,872.64,898.97,615845.77,2789.08,704.06,910.42,509045.14,2605.8,693.78,743.4,885.3,890.74,929.32,0.9,0.98,576412.91,643713.56,2679.69,2852.45,3
2022_11_17_082028_750_8906.scd,510.01,614.02,607.67,400453.8,735.01,843.31,499082.3,2349.7,695.75,846.48,473609.19,1981.25,706.29,645.33,768.94,868.25,1002.2,0.76,0.9,463458.76,539372.04,2474.88,2786.5,2
2022_11_17_170826_748_3891.scd,990.01,633.99,628.54,428511.42,805.79,934.71,589888.6,2743.35,630.98,910.33,449264.22,2479.72,645.09,676.79,822.95,910.2,1093.74,0.77,0.88,517428.34,615646.03,2642.63,3129.76,2
2022_11_17_074941_693_9085.scd,950.01,589.71,589,396251.83,705.74,868.53,480844.51,2538.38,615.38,899.98,427245.71,2454.44,620.28,628.23,719.39,834.23,881.92,0.78,0.83,439032.27,496374.37,2456.3,2574.67,2
2022_11_17_170634_695_9085.scd,920.01,633.63,658.65,439131.36,721.07,909.41,505338.89,2583.75,614.07,963.06,448214.08,2635.29,581.27,640.11,741.61,891.69,934.61,0.76,0.82,471629.68,525400.37,2518.64,2660.25,2
2022_11_17_173726_722_1534.scd,640.01,665.89,693.55,514380.5,809.62,954.97,602461.68,2771.86,723.99,902.67,528760.84,2654.94,750.46,727.07,831.78,926.52,979.43,0.83,0.87,571821.38,631451.58,2714.13,2828.5,2
2022_11_17_081135_790_1523.scd,670.01,695.04,752.15,515751.43,845.63,863.16,584912.28,2678.36,679.36,884.16,479870.94,2520.87,682.43,725.08,870.01,865.5,887.17,0.91,0.99,557564.4,612173.73,2651.51,2808.54,3
2022_11_17_074749_691_9085.scd,960.01,581.05,600.61,450605.14,729.08,886.77,500087.34,2560.87,629.42,922.54,449166.82,2552.53,609.26,652.28,748.78,865.91,923.32,0.78,0.84,465299,518216.37,2504.26,2627.15,2
2022_11_17_173836_722.6_1534.scd,660.01,643.76,664.01,493320.06,783.92,954.39,590237.62,2748.47,695.54,938.24,511774.97,2613.67,699.71,691.44,798.64,927.71,970.37,0.79,0.85,556118.37,615768.85,2686.3,2805.36,2
2022_11_17_171723_810_3748.scd,870.01,666.89,662.2,469274.24,849.22,899.79,609042.82,2776.67,721.31,902,513447.77,2624.23,721.99,737.36,862.66,909.29,1127.07,0.85,0.97,559561.07,628228.59,2760.92,3294.55,2
2022_11_17_173652_722_1534.scd,900.01,640,662.58,469049.82,764.94,915.95,560089.58,2689.72,643.28,890.61,452802.3,2456.08,678.58,680.99,781.36,880.93,942.64,0.79,0.85,508236.69,583474.98,2580.65,2740.45,2
2022_11_17_174957_764.2_3455.scd,860.01,648.08,663.61,483965.37,803.18,935.36,597731.52,2768.41,696.67,959.72,523528.02,2655.65,690.79,709.97,820.73,906.66,956.85,0.83,0.88,556537.44,616837.41,2691.95,2800.05,2
2022_11_17_081512_790_1523.scd,820.01,638.31,650.58,426489.97,868.36,881.14,599516.55,2782.07,683,882.02,483705.15,2531.31,688.57,719.53,882.25,850.01,898.19,0.91,0.99,542135.93,624596.19,2553.86,2833.56,3
2022_11_17_074219_750_5491.scd,900.01,640.33,652,462833.21,791.2,916.94,571657.62,2715.3,661.34,879.92,475774.74,2549.77,680.29,696.57,810.55,880.02,935.55,0.81,0.88,517249.34,595602.13,2608.87,2765.92,2
2022_11_17_172520_781_1523.scd,650.01,679.98,730.73,489463.6,867,901.19,614675.05,2762.27,707.57,924.45,504826.72,2587.5,693.64,736.66,880.96,891.18,925.5,0.91,0.98,580317.17,645288.57,2667.76,2861.08,3
2022_11_17_171428_810_3748.scd,920.01,644.23,655.8,453024.41,845.08,900.75,610150.69,2782.37,742.31,909.14,532424.18,2629.09,738.13,733.43,857.88,864.51,913.06,0.89,0.97,551409.65,626186.82,2665.71,2817.66,3
2022_11_17_171708_810_3748.scd,950.01,653.23,656.52,438049.13,845.69,880.88,597060.84,2754.07,696.26,943.98,516155.85,2705.49,685.46,722.97,857.68,857.34,899.88,0.9,0.99,546698.44,614824.04,2654.03,2791.85,3
2022_11_17_171433_810_3748.scd,950.01,660.1,657.01,464892.09,855.35,884,605586.79,2771.3,706,916.05,502628.04,2592.48,710.62,726.18,868.54,861.66,906.72,0.9,0.99,549006.64,623992.31,2656.24,2811.06,3
